ProductId,FullName,Price,ProductPopularity,ProductReorderRate,OftenBoughtWith
153,Вологий корм Optimeal з кроликом та чорницею у соусі для дорослих собак (12x100 г),336,66,11.0,112.0
116,Вологий корм Optimeal з лососем та лохиною в крем соусі для дорослих собак (12x100 г),336,55,8.0,112.0
115,Вологий корм Optimeal з тріскою та овочами в желе для дорослих котів (12x85 г),324,267,36.0,111.0
109,Вологий корм Optimeal з лососем та чорницею в желе для стерилізованих кішок та кастрованих котів (12x85 г),396,264,49.0,107.0
135,Беззерновий вологий корм Optimeal з лососем і креветками в соусі для дорослих котів (85 г),33,351,49.0,67.0
154,Беззерновий сухий корм Optimeal з качкою та овочами для дорослих котів (300 гр),145,214,28.0,97.0
94,Вологий корм Optimeal з індичкою у гарбузовому соусі для дорослих котів (12x85 г),"291,6",183,29.0,111.0
127,Беззерновий сухий корм Optimeal з індичкою та овочами для дорослих котів (4 кг),1396,96,17.0,20.0
101,Сухий корм Optimeal з ягням для дорослих котів з чутливим травленням (10 кг),2900,15,1.0,74.0
126,Сухий корм Optimeal з качкою для дорослих котів з ефектом виведення шерсті (10 кг),2900,8,,13.0
53,Беззерновий вологий корм Optimeal з лососем і креветками в соусі для дорослих котів (12x85 г),396,58,9.0,104.0
95,Брендований бокс Optimeal для стерилізованих котів (1 бокс),937,60,3.0,4.0
54,Гіпоалергенний сухий корм Optimeal для дорослих собак мініатюрних та малих порід з високим вмістом ягнятини (1.5 кг),"903,6",85,11.0,35.0
117,Брендований бокс Optimeal для собак малих порід (1 бокс),"1300,5",48,2.0,127.0
160,Беззерновий сухий корм Optimeal для дорослих собак мініатюрних та малих порід з високим вмістом ягнятини (1.5 кг),502,71,6.0,23.0
1,Беззерновий сухий корм Optimeal з качкою та овочами для дорослих собак усіх порід (1.5 кг),502,30,3.0,142.0
151,Беззерновий сухий корм Optimeal з качкою та овочами для дорослих собак усіх порід (10 кг),2653,23,3.0,76.0
52,Беззерновий сухий корм Optimeal з індичкою та овочами для дорослих собак усіх порід (1.5 кг),502,27,3.0,48.0
41,Беззерновий сухий корм Optimeal з індичкою та овочами для дорослих собак усіх порід (10 кг),2653,16,3.0,84.0
136,Низькозерновий сухий корм Optimeal для цуценят мініатюрних та малих порід з високим вмістом ягнятини (1.5 кг),448,62,8.0,30.0
129,Низькозерновий сухий корм Optimeal для цуценят мініатюрних та малих порід з високим вмістом ягнятини (4 кг),1064,48,3.0,88.0
162,"Сухий корм Optimeal з морепродуктами для догляду за шерстю та зубами у дорослих котів (1,5 кг)",602,159,12.0,13.0
87,Сухий корм Optimeal з морепродуктами для дорослих котів із заспокоюючим ефектом (4 кг),1378,21,2.0,31.0
163,"Сухий корм Optimeal з морепродуктами для підтримки загального фізичного стану у дорослих стерилізованих кішок та кастрованих котів (1,5 кг)",602,163,15.0,137.0
141,Сухий корм Optimeal з морепродуктами для догляду за шерстю та зубами у дорослих собак усіх порід (10 кг),2578,34,6.0,148.0
48,Брендований бокс OPTIMEAL для собак малих порід (1 бокс),1033,44,2.0,139.0
142,"Сухий корм Optimeal з морепродуктами для догляду за шерстю та зубами у дорослих собак усіх порід (1,5 кг)",470,39,1.0,68.0
42,"Сухий корм Optimeal з високим вмістом телятини для дорослих котів (1,5 кг)",420,106,7.0,4.0
148,"Беззерновий сухий корм Optimeal з морепродуктами для підтримки загального фізичного стану у дорослих собак усіх порід (1,5 кг)",471,26,4.0,35.0
92,Консерва Optimeal зі смугастим тунцем з морськими водоростями в желе із заспокійливим ефектом для дорослих котів (70 г),350,176,26.0,146.0
140,Консерва Optimeal зі смугастим тунцем і кільцями кальмарів у соусі для догляду за шерстю та зубами у дорослих котів (70 г),350,335,46.0,156.0
64,Сухий корм Optimeal з морепродуктами для дорослих собак усіх порід із заспокійливим ефектом (10 кг),2578,21,4.0,140.0
78,Беззерновий сухий корм Optimeal з морепродуктами для підтримки загального фізичного стану у дорослих собак усіх порід (10 кг),2578,37,8.0,140.0
96,"Сухий корм Optimeal з морепродуктами для дорослих котів із заспокоюючим ефектом (1,5 кг)",602,87,13.0,139.0
131,"Сухий корм Optimeal з морепродуктами для дорослих собак усіх порід із заспокійливим ефектом (1,5 кг)",471,28,4.0,68.0
150,Сухий корм Optimeal з морепродуктами для догляду за шерстю та зубами у дорослих собак усіх порід (4 кг),1129,51,6.0,32.0
79,Сухий корм Optimeal з морепродуктами для дорослих собак усіх порід із заспокійливим ефектом (4 кг),2262,27,1.0,151.0
133,Сухий корм Optimeal з морепродуктами для підтримки загального фізичного стану у дорослих стерилізованих кішок та кастрованих котів (4 кг),1376,69,3.0,156.0
152,Сухий корм Optimeal з морепродуктами для догляду за шерстю та зубами у дорослих котів (4 кг),1376,60,8.0,156.0
60,Беззерновий сухий корм Optimeal з морепродуктами для підтримки загального фізичного стану у дорослих собак усіх порід (4 кг),1129,19,3.0,169.0
144,Консерва Optimeal зі смугастим тунцем і креветками  у соусі для підтримки загального фізичного стану у дорослих котів (70 г),140,369,56.0,146.0
132,Сухий корм Optimeal з високим вмістом яловичини та сорго для стерилізованих кішок та кастрованих котів (650 гр),245,932,183.0,161.0
147,Сухий корм Optimeal з індичкою для цуценят усіх порід (650 гр),474,249,49.0,30.0
93,Сухий корм Optimeal з куркою для дорослих собак великих порід (1.5 кг),326,5,,47.0
138,Гіпоалергенний сухий корм Optimeal для дорослих собак мініатюрних та малих порід з високим вмістом ягнятини (650 гр),542,54,5.0,135.0
155,Сухий корм Optimeal з індичкою та вівсом для стерилізованих кішок та кастрованих котів (650 гр),245,228,20.0,157.0
99,Низькозерновий сухий корм Optimeal для цуценят мініатюрних та малих порід з високим вмістом ягнятини (650 гр),265,47,6.0,158.0
134,Брендований бокс OPTIMEAL (1 бокс),1240,45,1.0,157.0
102,Гіпоалергенний повнораціонний сухий корм для дорослих собак середніх порід – лосось (тест1),1,1,,
124,Сухий корм Optimeal з ягням для дорослих котів з чутливим травленням (650 гр),245,239,30.0,157.0
170,Сухий корм Optimeal з куркою для кошенят (650 гр),186,4,,
125,Сухий корм Optimeal з куркою для дорослих котів (650 гр),140,309,42.0,168.0
75,Сухий корм Optimeal з високим вмістом телятини для дорослих котів (650 гр),258,240,36.0,167.0
159,Беззерновий вологий корм Optimeal для дорослих собак мініатюрних та малих порід з телятиною та курячим філе у соусі (85 г),324,74,13.0,170.0
166,Гіпоалергенний сухий корм Optimeal для дорослих собак мініатюрних та малих порід з високим вмістом ягнятини (4 кг),1163,11,2.0,169.0
172,"Сухий корм Optimeal з індичкою та вівсом для стерилізованих кішок та кастрованих котів (1,5 кг)",448,140,11.0,4.0
164,Вологий корм для дорослих собак мініатюрних та малих порід з ягнятиною та шпинатом у соусі (85 г),192,1,,
