UserId,IsChurned,Cluster,SubsPlanSent,SubsPlanAccepted,SubsPlanProposed,SubsPlanChosen,IsSubsPlanActive,DateLastSubsProposal
58,False,0.0,False,False,0,0,0,2000-01-01
59,False,0.0,False,False,0,0,0,2000-01-01
60,False,0.0,False,False,0,0,0,2000-01-01
61,False,0.0,False,False,0,0,0,2000-01-01
62,False,2.0,False,False,0,0,0,2000-01-01
63,False,2.0,False,False,0,0,0,2000-01-01
64,False,-1.0,False,False,0,0,0,2000-01-01
65,False,2.0,False,False,0,0,0,2000-01-01
66,False,-1.0,False,False,0,0,0,2000-01-01
67,False,3.0,False,False,0,0,0,2000-01-01
68,False,2.0,False,False,0,0,0,2000-01-01
69,False,2.0,False,False,0,0,0,2000-01-01
70,False,0.0,False,False,0,0,0,2000-01-01
71,False,3.0,False,False,0,0,0,2000-01-01
72,False,2.0,False,False,0,0,0,2000-01-01
73,False,0.0,False,False,0,0,0,2000-01-01
74,False,-1.0,False,False,0,0,0,2000-01-01
75,False,2.0,False,False,0,0,0,2000-01-01
76,False,0.0,False,False,0,0,0,2000-01-01
77,False,2.0,False,False,0,0,0,2000-01-01
78,False,2.0,False,False,0,0,0,2000-01-01
79,False,-1.0,False,False,0,0,0,2000-01-01
80,False,3.0,False,False,0,0,0,2000-01-01
81,False,3.0,False,False,0,0,0,2000-01-01
82,False,2.0,False,False,0,0,0,2000-01-01
83,False,-1.0,False,False,0,0,0,2000-01-01
84,False,2.0,False,False,0,0,0,2000-01-01
85,False,2.0,False,False,0,0,0,2000-01-01
86,False,2.0,False,False,0,0,0,2000-01-01
87,False,2.0,False,False,0,0,0,2000-01-01
88,False,2.0,False,False,0,0,0,2000-01-01
89,False,2.0,False,False,0,0,0,2000-01-01
90,False,-1.0,False,False,0,0,0,2000-01-01
91,False,2.0,False,False,0,0,0,2000-01-01
92,False,2.0,False,False,0,0,0,2000-01-01
93,False,1.0,False,False,0,0,0,2000-01-01
94,False,2.0,False,False,0,0,0,2000-01-01
95,False,3.0,False,False,0,0,0,2000-01-01
96,False,2.0,False,False,0,0,0,2000-01-01
97,False,2.0,False,False,0,0,0,2000-01-01
98,False,2.0,False,False,0,0,0,2000-01-01
99,False,2.0,False,False,0,0,0,2000-01-01
100,False,0.0,False,False,0,0,0,2000-01-01
101,False,2.0,False,False,0,0,0,2000-01-01
102,False,3.0,False,False,0,0,0,2000-01-01
103,False,0.0,False,False,0,0,0,2000-01-01
104,False,3.0,False,False,0,0,0,2000-01-01
105,False,2.0,False,False,0,0,0,2000-01-01
106,False,2.0,False,False,0,0,0,2000-01-01
107,False,2.0,False,False,0,0,0,2000-01-01
108,False,2.0,False,False,0,0,0,2000-01-01
109,False,-1.0,False,False,0,0,0,2000-01-01
110,False,3.0,False,False,0,0,0,2000-01-01
111,False,2.0,False,False,0,0,0,2000-01-01
112,False,2.0,False,False,0,0,0,2000-01-01
113,False,2.0,False,False,0,0,0,2000-01-01
114,False,2.0,False,False,0,0,0,2000-01-01
115,False,2.0,False,False,0,0,0,2000-01-01
116,False,2.0,False,False,0,0,0,2000-01-01
117,False,3.0,False,False,0,0,0,2000-01-01
