ProductId,FullName,Price,ProductPopularity,ProductReorderRate,OftenBoughtWith
59,Adult Small Breeds - сухий корм з куркою для дорослих собак малих порід (400 г),295,20,1.0,48.0
121,Adult Cats Chicken - сухий корм з куркою для дорослих котів (300 гр),61,467,74.0,57.0
111,- м'ясна паличка з лососем для собак з чутливим травленням (),40,422,66.0,70.0
136,Plus Selection - вологий корм зі шматочками качки та індички в соусі для дорослих собак малих порід (85 г),85,228,27.0,124.0
58,Selection Adult Cats with Duck & Vegetables - cухий корм з качкою та овочами для дорослих котів (300 г),52,1528,292.0,57.0
98,- вологий корм з качкою в соусі для дорослих котів (24x100 г),360,465,75.0,29.0
35,- вологий корм з куркою в соусі для дорослих котів з ефектом виведення шерсті (80 г),32,213,29.0,7.0
17,- вологий корм з куркою для дорослих стерилізованих котів (80 г),32,1110,197.0,13.0
89,- вологий корм з яловичиною в желе для стерилізованих котів (80 г),32,157,22.0,46.0
46,Plus Selection - вологий корм зі шматочками курки та телятини в соусі для дорослих котів (80 г),51,201,31.0,83.0
125,- вологий корм із лососем у соусі для кошенят (80 г),70,344,57.0,40.0
147,Puppies All Breeds with Turkey in gravy - вологий корм з індичкою в соусі для цуценят (24x100 г),360,70,14.0,102.0
37,Plus Selection - вологий корм зі шматочками лосося та макрелі в соусі для дорослих собак малих порід (85 г),85,236,34.0,124.0
109,Puppies Large Breeds - сухий корм з куркою для цуценят великих порід (14 кг),1539,534,95.0,79.0
92,Adult Cats Indoor 4 in 1 - сухий корм для котів без доступу на вулицю (14 кг),2287,570,86.0,27.0
95,Kittens Salmon - сухий корм з лососем для кошенят (5 кг),721,296,40.0,85.0
128,Puppies All Breeds with Chicken in jelly - вологий корм з куркою в желе для цуценят (24x100 г),360,54,9.0,97.0
133,Plus Selection - вологий корм зі шматочками кролика та індички в соусі для дорослих котів (12x80 г),204,128,16.0,123.0
30,- вологий корм з куркою в соусі для дорослих котів з ефектом виведення шерсті (24x80 г),768,59,11.0,60.0
107,- вологий корм із куркою в соусі для дорослих котів із чутливим травленням (24x80 г),768,52,13.0,64.0
21,Active Adult Medium Breed - сухий корм для дорослих активних собак середніх порід (5 кг),"761,25",74,4.0,134.0
67,Selection - паштет з куркою та ягням для дорослих собак (400 г),146,180,24.0,109.0
62,Selection - паштет з куркою та індичкою для дорослих собак (400 г),73,160,24.0,107.0
120,Selection - паштет з куркою та яловичиною для дорослих собак (400 г),146,215,27.0,66.0
144,- вологий корм з куркою в соусі для кошенят (24x80 г),336,150,23.0,116.0
108,Adult All Breeds Light - сухий корм для дорослих собак схильних до ожиріння (контроль ваги) (14 кг),1298,271,41.0,16.0
119,Adult Cats Sterilised with Salmon - сухий корм з лососем для стерилізованих котів (14 кг),2288,79,10.0,131.0
22,Plus Selection - вологий корм зі шматочками курки та телятини в соусі для дорослих котів (12x80 г),204,63,8.0,103.0
94,Puppies Large Breeds - сухий корм з куркою для цуценят великих порід (2 кг),302,127,15.0,72.0
110,Plus Selection - вологий корм зі шматочками качки та індички в соусі для дорослих собак малих порід (12х85 гр),204,54,5.0,130.0
145,- вологий корм з індичкою в желе для кошенят (24x80 г),336,124,19.0,110.0
131,Selection - вологий корм зі смужками індички в крем-супі з моркви для дорослих котів (12x85 г),216,97,17.0,118.0
138,Selection - вологий корм зі смужками яловичини в крем-супі з брокколі для дорослих котів (12x85 г),216,71,13.0,117.0
103,- вологий корм із куркою в соусі для дорослих котів із чутливим травленням (80 г),32,159,23.0,7.0
114,Puppies All Breeds - сухий корм з куркою для цуценят усіх порід (400 г),285,166,25.0,59.0
137,Adult Small Breeds Lamb & Rice - гіпоалергенний сухий корм з ягням  та рисом для дорослих собак малих порід (14 кг),1839,273,46.0,36.0
116,- вологий корм із лососем у соусі для кошенят (24x80 г),336,102,16.0,110.0
132,Plus Selection - вологий корм зі шматочками телятини в овочевому желе для дорослих котів (12x80 г),204,88,13.0,103.0
154,Plus Selection - вологий корм зі шматочками яловичини та овочами в соусі для дорослих собак малих порід (85 г),85,288,44.0,89.0
127,Adult Cats Hairball Control - сухий корм з ефектом виведення шерсті з травного тракту у котів (14 кг),2287,217,35.0,100.0
122,Adult Small Breeds Light - сухий корм з індичкою для дорослих собак малих порід схильних до ожиріння (контроль ваги) (5 кг),607,288,50.0,35.0
117,Plus Selection - вологий корм зі шматочками оселедця та салаки в желе для дорослих котів (12x80 г),204,103,19.0,103.0
55,Adult Cats Urinary Health - cухий корм для підтримки здоров'я сечовивідної системи котів (14 кг),2287,198,31.0,125.0
123,Plus Selection - вологий корм зі шматочками лосося та макрелі в соусі для дорослих собак малих порід (12x85 г),408,55,6.0,130.0
146,Plus Selection - вологий корм зі шматочками яловичини та овочами в соусі для дорослих собак малих порід (12х85 гр),204,69,7.0,129.0
112,Adult Cats Indoor 4 in 1 with Lamb - сухий корм з ягням для котів без доступу на вулицю (14 кг),2287,137,22.0,100.0
106,Adult Medium Breeds Duck - сухий корм з качкою для дорослих собак середніх порід (14 кг),3680,123,17.0,27.0
118,Adult Small Breeds - сухий корм з куркою для дорослих собак малих порід (400 гр.),59,190,36.0,53.0
97,Adult All Breeds Lamb & Rice - гіпоалергенний сухий корм з ягням та рисом для дорослих собак усіх порід (2 кг),317,1005,171.0,2.0
130,Брендований бокс Club 4 Paws для стерилізованих котів (1 бокс),598,49,1.0,12.0
113,Adult Large Breeds Duck - сухий корм з качкою для дорослих собак великих порід (14 кг),1839,248,40.0,16.0
104,Adult Medium & Large Breeds Scout - сухий корм для робочих собак середніх і великих порід (5 кг),665,126,14.0,12.0
129,Adult Medium & Large Breeds Scout - сухий корм для робочих собак середніх і великих порід (14 кг),1703,130,20.0,81.0
102,- вологий корм із кроликом у желе для дорослих котів (100 г),2688,912,148.0,140.0
115,- вологий корм з куркою в соусі для дорослих котів (100 г),2688,805,125.0,139.0
38,- вологий корм із лососем у желе для дорослих котів (100 г),2688,650,100.0,139.0
105,- вологий корм з телятиною в соусі для дорослих котів (100 г),336,663,112.0,140.0
26,Adult Cats Urinary Health - cухий корм для підтримки здоров'я сечовивідної системи котів (5 кг),760,482,67.0,13.0
135,Selection вологий корм для дорослих котів - шматочки з телятиною в овочевому соусі (80 г),336,164,18.0,147.0
82,Selection вологий корм для дорослих котів - шматочки з оселедцем та салакою в желе (80 г),336,140,17.0,144.0
155,Selection Adult Dog Slices with Duck & Turkey in gravy Вологий корм для дорослих собак з качкою та індичкою в соусі (85г),384,88,3.0,36.0
39,Selection вологий корм для дорослих котів - шматочки з куркою та телятиною в желе (80 г),336,217,26.0,144.0
