UserId,DaysSinceLastPurchase,DayOfWeek,Hour,OrdersCount,TotalSpent,AveragePurchaseValue,PurchaseFreq,PreferedProduct,TotalItemsPurchased,OrderSize,LT,IsChurned,Cluster
76,0,Tuesday,11,2,2062.140000000001,1031.0700000000004,0.9375,22,2,1.0,34,False,0.0
77,0,Tuesday,16,1,994.0,994.0,1.0,53,1,1.0,0,False,0.0
78,1,Sunday,11,3,2463.0,821.0,0.625,5,3,1.0,114,False,1.0
79,1,Tuesday,10,2,2812.0,1406.0,0.4054054054054054,11,3,1.5,118,False,1.0
80,1,Friday,14,6,10361.04,1726.84,0.6164383561643836,31,265,13.25,262,False,-1.0
81,1,Sunday,11,2,1504.8,752.4,1.1320754716981132,7,48,12.0,23,False,2.0
82,1,Friday,6,5,1768.97,353.79400000000004,0.3926701570680629,39,6,1.0,352,False,1.0
83,1,Tuesday,14,1,242.5,242.5,1.0,47,4,1.0,0,False,0.0
84,1,Tuesday,14,1,850.02,850.02,1.0,10,3,1.5,0,False,0.0
85,1,Friday,13,2,2084.16,1042.08,0.6666666666666666,62,2,1.0,60,False,0.0
86,1,Tuesday,13,1,1393.98,1393.98,1.0,31,37,9.25,0,False,2.0
87,1,Tuesday,13,1,274.56,274.56,1.0,38,1,1.0,0,False,0.0
88,1,Tuesday,13,1,1396.0,1396.0,1.0,54,1,1.0,0,False,0.0
89,1,Friday,12,2,590.96,295.48,0.7894736842105263,6,2,1.0,46,False,0.0
90,1,Tuesday,13,1,329.0,329.0,1.0,17,4,2.0,0,False,0.0
91,1,Saturday,13,2,2478.0,1239.0,0.2714932126696833,30,27,5.4,191,False,1.0
92,1,Monday,13,5,5913.9,1182.78,1.1278195488721805,111,110,5.5,103,False,-1.0
93,1,Sunday,8,3,1198.6,399.5333333333333,0.7563025210084033,14,3,1.0,89,False,1.0
94,1,Wednesday,11,15,51344.2,3422.9466666666663,0.7211538461538461,85,41,1.3666666666666667,594,False,-1.0
95,1,Tuesday,11,1,1159.0,1159.0,1.0,56,1,1.0,0,False,0.0
96,1,Tuesday,11,5,3030.2,606.04,1.0638297872340423,10,5,1.0,111,False,3.0
97,1,Friday,11,12,7294.3600000000015,607.8633333333332,0.96,158,22,1.8333333333333333,345,False,-1.0
98,1,Saturday,11,7,5830.0,832.8571428571429,0.8433734939759036,49,36,1.7142857142857142,219,False,1.0
99,1,Tuesday,10,4,5064.280000000002,1266.0700000000004,0.3870967741935484,154,14,2.8,280,False,1.0
100,1,Tuesday,10,2,913.98,456.99,1.0526315789473684,5,2,1.0,27,False,0.0
101,1,Tuesday,10,2,2542.0,1271.0,1.2000000000000002,47,81,16.2,20,False,-1.0
102,1,Monday,13,5,1303.0,260.6,2.083333333333333,46,42,8.4,42,False,3.0
103,1,Monday,10,20,16845.36,842.268,1.4388489208633093,56,37,1.761904761904762,387,False,-1.0
104,1,Friday,10,3,1343.74,447.91333333333336,0.8181818181818182,2,3,1.0,80,False,0.0
105,1,Monday,9,4,1427.8,356.95,1.3953488372093024,20,21,5.25,56,False,3.0
106,1,Friday,8,5,2022.75,404.55,1.0344827586206895,15,29,5.8,115,False,2.0
107,1,Tuesday,9,1,5061.0,5061.0,1.0,59,2,1.0,0,False,-1.0
108,1,Tuesday,9,1,1135.74,1135.74,1.0,7,12,3.0,0,False,0.0
109,1,Tuesday,9,2,4317.5,2158.75,0.9375,84,2,1.0,34,False,0.0
110,1,Friday,10,9,3919.85,435.53888888888883,0.6801007556675064,20,22,2.0,367,False,1.0
111,1,Saturday,18,11,6928.06,629.8236363636364,1.0819672131147542,39,14,1.2727272727272727,275,False,-1.0
